time,FWI,tasmax,pr,sfcWind,scenario,h2o
1909,17.539205951466034,301.68484,5.6418047,3.0846977,Historical to Present (1850-2015),0.01642373
1910,17.925403942461312,301.79163,5.834982,3.1050813,Historical to Present (1850-2015),0.016454091
1911,18.383681043414505,301.7152,5.6598854,3.0898588,Historical to Present (1850-2015),0.01641393
1912,18.15135783463193,301.6063,5.6350536,3.1374676,Historical to Present (1850-2015),0.016391583
1913,18.4627011507668,301.81052,5.48309,3.06085,Historical to Present (1850-2015),0.016345108
1914,19.69501928912972,301.81036,5.4221525,3.0791304,Historical to Present (1850-2015),0.016377654
1915,19.730550274092174,301.9094,5.335702,3.1045997,Historical to Present (1850-2015),0.01638016
1916,18.35063100879273,301.80093,5.8105316,3.0663297,Historical to Present (1850-2015),0.016397886
1917,16.792552857372396,301.60043,5.6324244,3.1096058,Historical to Present (1850-2015),0.016479323
1918,18.93853929982561,301.79538,5.682403,3.088793,Historical to Present (1850-2015),0.016509466
1919,18.10402572932429,301.8302,5.717612,3.0949688,Historical to Present (1850-2015),0.016420143
1920,17.70938692119736,301.7451,5.569423,3.1104424,Historical to Present (1850-2015),0.016460521
1921,18.663848587809667,301.9902,5.5021234,3.081104,Historical to Present (1850-2015),0.01646789
1922,18.20638821463162,301.84323,5.7095847,3.080581,Historical to Present (1850-2015),0.016478762
1923,18.508324808436125,301.80148,5.7855387,3.1229165,Historical to Present (1850-2015),0.016475119
1924,17.345910383607094,301.66318,5.6224985,3.0650356,Historical to Present (1850-2015),0.016476879
1925,17.818988534367403,301.72897,5.5628753,3.1300786,Historical to Present (1850-2015),0.016482545
1926,18.346460957991898,301.8518,5.7445045,3.0978954,Historical to Present (1850-2015),0.01648662
1927,16.416616920812135,301.68076,5.59705,3.0684454,Historical to Present (1850-2015),0.016448515
1928,18.457526343720698,301.98865,5.757857,3.0725994,Historical to Present (1850-2015),0.016532743
1929,18.357870553245395,301.93823,5.5123568,3.1074278,Historical to Present (1850-2015),0.016479632
